"short_point_id","full_point_id","state","conservation_practice","treatment_status","month","day","year","visit","time","observer","temp_f","wind","cloud","morphospecies","distance","behavior","Associated.Vegetation","Identification.Notes","NOBO.Detected.","Notes","X...gray.columns.not.cleaned"
"priv023","ks_priv023","ks","prescribed_burning","ks",5,22,2024,1,1111,"SG",67,3,0,"BB",1.25,"F","none","","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BUTT",0.3,"F","none","","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BUTT",1,"R","none","blue Lycaenidae","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BUTT",0.75,"R","none","blue Lycaenidae","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BUTT",0.5,"R","none","white","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BUTT",0.25,"F","none","","","",""
"priv025","ks_priv025","ks","prescribed_burning","ks",5,22,2024,1,1148,"SG",68,2,0,"BB",11,"F","none","","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"BUTT",2,"F","grass","","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"BUTT",3.5,"N","Leucanthemum vulgare","blue Lycaenidae","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"BUTT",1,"F","none","fritillary","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"BUTT",0.5,"F","none","white","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"SGB",0.5,"R","none","Fritillary","","",""
"priv048","ks_priv048","ks","brush_management","ks",5,23,2024,1,1410,"KM",80,2,0,"BUTT",2,"F","none","","","",""
"priv053","ks_priv053","ks","brush_management","ks",5,23,2024,1,1540,"KM",83,2,0,"BUTT",2.5,"F","none","Zebra Swallowtail","","",""
"priv053","ks_priv053","ks","brush_management","ks",5,23,2024,1,1540,"KM",83,2,0,"BUTT",1,"F","none","fritillary","","",""
"priv039","ks_priv039","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1051,"SG",72,3,0,"BUTT",3,"F","none","","","",""
"priv039","ks_priv039","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1051,"SG",72,3,0,"BUTT",0.75,"F","none","","","",""
"priv037","ks_priv037","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1140,"SG",75,3,0,"BUTT",2.5,"F","none","","","",""
"priv037","ks_priv037","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1140,"SG",75,3,0,"BB",4,"F","none","","","",""
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1214,"SG",76,3,0,"BB",1,"F","none","","","",""
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1214,"SG",76,3,0,"BB",2.25,"F","none","","","High flying",""
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1214,"SG",76,3,0,"BB",3.5,"F","none","","","High flying",""
"priv040","ks_priv040","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1305,"SG",77,3,0,"BUTT",2.5,"F","none","","","high flying",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",9.5,"F","none","","",NA,""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",5.75,"F","none","blue Lycaenidae","",NA,""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",0.5,"F","none","blue Lycaenidae","",NA,""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",1,"F","none","blue Lycaenidae","","",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"MNB",0.25,"F","none","blue Lycaenidae","","",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",0.25,"F","none","Nymphalidae","","",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",0.75,"F","none","white","","39°33'33""N, 97°2'32""W
moved point15m south 
along transect to avoid
 barbed wire fencing",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",2,"F","none","","","High flying",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",1,"F","none","skipper","","",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",0,"F","none","unknown","","",""
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1345,"SG",78,3,0,"BUTT",3,"F","none","fritillary","","39°33'20""N, 97°2'23""W
Lucinda's 3rd point by cows and road brown, bigger
white, little",""
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1525,"SG",80,3,0,"BUTT",0.2,"F","none","skipper","","",""
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1525,"SG",80,3,0,"BUTT",3,"F","none","Black & white, small","","",""
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1525,"SG",80,3,0,"BUTT",0.75,"F","none","white, small","","",""
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1525,"SG",80,3,0,"BUTT",3.5,"F","none","burnt orange","","",""
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1525,"SG",80,3,0,"BUTT",0,"F","none","","","",""
"priv047","ks_priv047","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1608,"SG",80,3,0,"BUTT",1.5,"F","none","blue Lycaenidae","","yellow, John Clare (1 point only)",""
"priv047","ks_priv047","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1608,"SG",80,3,0,"MNB",0.3,"N","yellow sweet clover","","","",""
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1640,"SG",80,3,25,"BB",0.5,"F","none","","","",""
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1640,"SG",80,3,25,"BUTT",0.25,"F","none","","","",""
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1640,"SG",80,3,25,"BB",13,"F","none","","","",""
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1640,"SG",80,3,25,"BUTT",0,"F","none","","","",""
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1714,"SG",80,3,0,"BUTT",2.5,"N","dogwood","","","video on S's phone",""
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1714,"SG",80,3,0,"BUTT",0.1,"R","none","","","",""
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1714,"SG",80,3,0,"BUTT",0.5,"R","none","","","priv052 removed from sampling",""
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1714,"SG",80,3,0,"BUTT",0.25,"F","none","","","",""
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1810,"SG",81,3,25,"BUTT",5.5,"F","none","","","",""
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1810,"SG",81,3,25,"BUTT",0.1,"R","none","","","1st PBPN, grass fields",""
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1810,"SG",81,3,25,"BUTT",0.25,"R","none","","","little gray",""
"priv043","ks_priv043","ks","not_enrolled_in_NRCS","ks",5,27,2024,1,1831,"SG",80,3,0,"BUTT",2.25,"F","none","","","Field Conifers = Red Cedar, Priv 037 (2nd PBPN...Faraway)",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"HB",1.25,"N","yellow sweet clover","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"HB",1.25,"N","yellow sweet clover","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",2,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BB",0.5,"N","green antelopehorn","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BB",2.5,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BB",3.5,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BB",5,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",0.25,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",2.25,"R","none","","","1/6 (lower/bigger chunk of land) PBPN ",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",2.25,"R","none","","","2/6 PBPN, open field, drive to gate entrance",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",2.5,"F","none","","","",""
"priv060","ks_priv060","ks","brush_management","ks",5,29,2024,1,1340,"SG",78,1,25,"BUTT",2.5,"F","none","Nymphalidae","","",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BUTT",0.1,"F","none","","","3/6 open field PBPN",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BUTT",3,"R","oxeye daisy","","","",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"SGB",0.75,"N","oxeye daisy","","","",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BUTT",0.25,"F","none","","","See Kara's photos",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BB",2.5,"F","none","","","",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BUTT",1,"F","none","","","",""
"priv058","ks_priv058","ks","brush_management","ks",5,29,2024,1,1440,"SG",79,1,0,"BUTT",1.25,"F","none","","","",""
"priv059","ks_priv059","ks","brush_management","ks",5,29,2024,1,1516,"SG",79,1,0,"BUTT",12.5,"F","none","","","5/6 PBPN",""
"priv059","ks_priv059","ks","brush_management","ks",5,29,2024,1,1516,"SG",79,1,0,"BUTT",2,"F","none","","","",""
"priv059","ks_priv059","ks","brush_management","ks",5,29,2024,1,1516,"SG",79,1,0,"BUTT",2.75,"F","none","","","",""
"priv059","ks_priv059","ks","brush_management","ks",5,29,2024,1,1516,"SG",79,1,0,"BUTT",4,"F","none","","","6/6 PBPN, last point",""
"priv059","ks_priv059","ks","brush_management","ks",5,29,2024,1,1516,"SG",79,1,0,"BUTT",5,"R","oxeye daisy","sulphur","","wohlgemuth; did transect S--> N to avoid charged fence;
removed from sampling because it is a post treatment hayfield",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"CB",1.25,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",0.25,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",2,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",1.5,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",2,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",2,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",3,"F","none","sulphur","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",11,"F","none","unknown (black)","","black unknown",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",3,"F","none","white","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",1,"F","none","variegated fritillary","","",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",0.25,"R","hay","variegated fritillary","","hay field",""
"priv017","ks_priv017","ks","prescribed_burning","ks",5,30,2024,1,1436,"KM",75,3,50,"BUTT",8,"F","none","variegated fritillary","","",""
"priv015","ks_priv015","ks","prescribed_burning","ks",5,30,2024,1,1029,"SG",70,1,100,"BUTT",6.5,"F","none","small, black","","",""
"priv015","ks_priv015","ks","prescribed_burning","ks",5,30,2024,1,1029,"SG",70,1,100,"BUTT",7,"F","none","white","","",""
"priv015","ks_priv015","ks","prescribed_burning","ks",5,30,2024,1,1029,"SG",70,1,100,"BUTT",10.5,"F","none","white","","",""
"priv015","ks_priv015","ks","prescribed_burning","ks",5,30,2024,1,1029,"SG",70,1,100,"BUTT",2.75,"F","none","blue Lycaenidae","","",""
"priv015","ks_priv015","ks","prescribed_burning","ks",5,30,2024,1,1029,"SG",70,1,100,"BB",12,"F","none","","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",4.75,"F","none","","","high flying, by tree, American persimmons in bloom",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",2.5,"F","none","","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",1,"F","none","","","on tree bark",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",2,"F","none","","","on tree bark",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BUTT",0.2,"F","none","white","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BUTT",0.5,"F","none","white","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BUTT",7.5,"F","none","white","","2/3 Lance Reed, oil drills, pond, this point specifically has many coniferous trees and no overstory; medium, white, gray speckles",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BUTT",10,"F","none","Nymphalidae","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",3.75,"F","none","","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"BB",12,"F","none","","","",""
"priv016","ks_priv016","ks","prescribed_burning","ks",5,30,2024,1,1057,"SG",70,1,100,"MNB",0.1,"R","none","","","",""
"priv014","ks_priv014","ks","prescribed_burning","ks",5,30,2024,1,1130,"SG",68,2,100,"BUTT",65,"F","none","white","","",""
"priv014","ks_priv014","ks","prescribed_burning","ks",5,30,2024,1,1130,"SG",68,2,100,"BB",11.5,"F","none","","","",""
"priv013","ks_priv013","ks","prescribed_burning","ks",5,30,2024,1,1130,"SG",67,2,100,"BB",2.25,"F","none","","","3/3 Lance Reed",""
"priv013","ks_priv013","ks","prescribed_burning","ks",5,30,2024,1,1130,"SG",67,2,100,"BUTT",0.25,"F","none","white","","",""
"priv010","ks_priv010","ks","prescribed_burning","ks",6,5,2024,1,1015,"KM",72,1,0,"BUTT",2,"F","none","questionmark","","",""
"priv010","ks_priv010","ks","prescribed_burning","ks",6,5,2024,1,1015,"KM",72,1,0,"BUTT",1,"F","none","small, dark","","",""
"priv010","ks_priv010","ks","prescribed_burning","ks",6,5,2024,1,1015,"KM",72,1,0,"BUTT",0.5,"R","pokeweed","unknown","","eyes on wings",""
"priv010","ks_priv010","ks","prescribed_burning","ks",6,5,2024,1,1015,"KM",72,1,0,"BUTT",0.25,"R","slimflower scurfpea","blue Lycaenidae","","",""
"priv010","ks_priv010","ks","prescribed_burning","ks",6,5,2024,1,1015,"KM",72,1,0,"BUTT",2,"F","none","blue Lycaenidae","","",""
"priv005","ks_priv005","ks","prescribed_burning","ks",6,5,2024,1,1058,"KM",76,1,0,"SGB",0.5,"R","chickasaw plum","","","",""
"priv005","ks_priv005","ks","prescribed_burning","ks",6,5,2024,1,1058,"KM",76,1,0,"BUTT",5,"F","none","monarch","","",""
"priv005","ks_priv005","ks","prescribed_burning","ks",6,5,2024,1,1058,"KM",76,1,0,"BUTT",8,"R","shrub","monarch","","",""
"priv005","ks_priv005","ks","prescribed_burning","ks",6,5,2024,1,1058,"KM",76,1,0,"BUTT",10,"F","none","monarch","","",""
"priv009","ks_priv009","ks","prescribed_burning","ks",6,5,2024,1,1142,"KM",78,2,0,"BUTT",0.5,"F","none","white","","",""
"priv009","ks_priv009","ks","prescribed_burning","ks",6,5,2024,1,1142,"KM",78,2,0,"BUTT",0.25,"F","none","monarch","","",""
"priv009","ks_priv009","ks","prescribed_burning","ks",6,5,2024,1,1142,"KM",78,2,0,"BUTT",1,"F","none","monarch","","",""
"priv009","ks_priv009","ks","prescribed_burning","ks",6,5,2024,1,1142,"KM",78,2,0,"BUTT",5,"F","none","Nymphalidae","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",1.5,"F","none","variegated fritilary","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",6,"F","none","Nymphalidae","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"CB",2.5,"F","none","","","larry davisson's 1st point very nice",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",0.5,"F","none","Nymphalidae","","CJ Blew",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",10,"F","none","Nymphalidae","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",1,"F","none","white","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",0.25,"F","none","skipper","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",12,"F","none","Nymphalidae","","2nd Davisson point",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",1,"F","none","Papilionidae","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BUTT",8,"F","none","white","","",""
"priv006","ks_priv006","ks","prescribed_burning","ks",6,5,2024,1,1300,"KM",83,1,0,"BB",0.5,"F","none","","","",""
"priv011","ks_priv011","ks","prescribed_burning","ks",6,5,2024,1,1427,"KM",87,2,0,"BUTT",5,"F","none","monarch","","",""
"priv011","ks_priv011","ks","prescribed_burning","ks",6,5,2024,1,1427,"KM",87,2,0,"BUTT",4,"F","none","Nymphalidae","","",""
"priv011","ks_priv011","ks","prescribed_burning","ks",6,5,2024,1,1427,"KM",87,2,0,"CB",0.25,"F","none","","","",""
"priv011","ks_priv011","ks","prescribed_burning","ks",6,5,2024,1,1427,"KM",87,2,0,"CB",1,"F","none","","","",""
"priv004","ks_priv004","ks","prescribed_burning","ks",6,5,2024,1,1600,"KM",89,3,0,"BUTT",1,"R","yellow sweet clover","eastern tailed blue","","",""
"priv004","ks_priv004","ks","prescribed_burning","ks",6,5,2024,1,1600,"KM",89,3,0,"BB",2.75,"F","none","","","",""
"priv008","ks_priv008","ks","prescribed_burning","ks",6,5,2024,1,1142,"DJM",78,2,0,"CB",2,"F","none","","","",""
"priv008","ks_priv008","ks","prescribed_burning","ks",6,5,2024,1,1142,"DJM",78,2,0,"BUTT",4,"F","none","regal fritillary","","Prescribed burn recovery, poor soil quality, dirt & rock patch",""
"priv008","ks_priv008","ks","prescribed_burning","ks",6,5,2024,1,1142,"DJM",78,2,0,"BUTT",0.5,"F","none","skipper","","",""
"priv007","ks_priv007","ks","prescribed_burning","ks",6,5,2024,1,1240,"DJM",83,2,0,"BUTT",1.25,"F","none","skipper","","Prescribed burn recovery, poor soil quality, dirt & rock patch",""
"priv007","ks_priv007","ks","prescribed_burning","ks",6,5,2024,1,1240,"DJM",83,2,0,"BUTT",2,"F","none","crescent","","",""
"priv007","ks_priv007","ks","prescribed_burning","ks",6,5,2024,1,1240,"DJM",83,2,0,"BUTT",1.5,"R","hackberry sapling","questionmark/comma","","",""
"priv012","ks_priv012","ks","prescribed_burning","ks",6,5,2024,1,1417,"DJM",87,2,0,"BUTT",1.15,"R","redcedar","questionmark/comma","","",""
"priv012","ks_priv012","ks","prescribed_burning","ks",6,5,2024,1,1417,"DJM",87,2,0,"BUTT",0.75,"F","none","crescent","","",""
"priv012","ks_priv012","ks","prescribed_burning","ks",6,5,2024,1,1417,"DJM",87,2,0,"BUTT",2,"F","none","skipper","","",""
"priv012","ks_priv012","ks","prescribed_burning","ks",6,5,2024,1,1417,"DJM",87,2,0,"BUTT",8,"F","none","azure","","",""
"priv001","ks_priv001","ks","prescribed_burning","ks",6,5,2024,1,1556,"DJM",89,3,0,"CB",6.25,"F","none","","","",""
"priv001","ks_priv001","ks","prescribed_burning","ks",6,5,2024,1,1556,"DJM",89,3,0,"BUTT",0.5,"F","none","azure","","",""
"priv002","ks_priv002","ks","prescribed_burning","ks",6,5,2024,1,1640,"DJM",89,3,0,"BUTT",2,"F","none","regal fritillary","","",""
"priv002","ks_priv002","ks","prescribed_burning","ks",6,5,2024,1,1640,"DJM",89,3,0,"BUTT",2.2,"F","none","small brown","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",3.5,"F","none","white spp.","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",4.75,"F","none","unkown","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",2.5,"F","none","question mark","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",5,"F","none","Nymphalidae","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",2.5,"F","none","unknown","","",""
"priv061","ks_priv061","ks","brush_management","ks",6,6,2024,1,1349,"SG",84,3,0,"BUTT",0.5,"F","none","Gorgone checkerspot","","",""
"priv062","ks_priv062","ks","brush_management","ks",6,6,2024,1,1331,"DJM",84,4,0,"BUTT",0.4,"F","none","sulphur","","",""
"priv062","ks_priv062","ks","brush_management","ks",6,6,2024,1,1331,"DJM",84,4,0,"BUTT",0.25,"F","none","white spp.","","",""
"priv062","ks_priv062","ks","brush_management","ks",6,6,2024,1,1331,"DJM",84,4,0,"BUTT",2.75,"F","none","crescent","","",""
"priv032","ks_priv032","ks","prescribed_burning","ks",6,7,2024,2,1336,"DJM",83,3,25,"CB",2.5,"F","none","","","",""
"priv032","ks_priv032","ks","prescribed_burning","ks",6,7,2024,2,1336,"DJM",83,3,25,"MNB",0,"R","observer","","","",""
"priv032","ks_priv032","ks","prescribed_burning","ks",6,7,2024,2,1336,"DJM",83,3,25,"BB",1.5,"F","none","","","",""
"priv031","ks_priv031","ks","prescribed_burning","ks",6,7,2024,2,1411,"DJM",85,3,50,"MNB",0,"R","observer","remove?","","",""
"priv031","ks_priv031","ks","prescribed_burning","ks",6,7,2024,2,1411,"DJM",85,3,50,"MNB",0,"R","observer","remove?","","",""
"priv031","ks_priv031","ks","prescribed_burning","ks",6,7,2024,2,1411,"DJM",85,3,50,"BUTT",1.25,"N","daisy fleabane","crescent","","",""
"priv031","ks_priv031","ks","prescribed_burning","ks",6,7,2024,2,1411,"DJM",85,3,50,"SBB",0.25,"N","daisy fleabane","","","",""
"priv030","ks_priv030","ks","prescribed_burning","ks",6,7,2024,2,1453,"DJM",85,4,100,"BB",0.25,"F","none","","","",""
"priv030","ks_priv030","ks","prescribed_burning","ks",6,7,2024,2,1453,"DJM",85,4,100,"BB",2.5,"F","none","","","",""
