"survey","short_point_id","full_point_id","state","conservation_practice","treated","month","day","year","visit","trap type","trap n/a","Prelim ID","Insect Order","Family","Genus","Specimen ID","Sex","det","Preservation","Notes"
"mo_priv001_v3_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv001_v3_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum (Dialictus)","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum (Dialictus)","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv001_v1_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,5,2024,1,"blue vane","N","none","none","none","none","none","none","none","none","NA"
"mo_priv001_v1_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",5,30,2024,1,"blue vane","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Augochloropsis","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Agapostemon","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Diadasia","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Diadasia","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Agapostemon","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv001_v2_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",6,11,2024,2,"blue vane","N","none","none","none","none","none","none","none","none","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Halictidae","Agapostemon","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Diadasia","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Bombus","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv001_v3_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,9,2024,3,"blue vane","N","none","none","none","none","none","none","none","none","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv001_v4_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v1_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,5,2024,1,"bee bowl","N","none","none","none","none","none","none","none","none","NA"
"mo_priv002_v1_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",5,30,2024,1,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Apis","Apis mellifera","NA","S. Gillies 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"bee bowl","N","bee","Hymenoptera","Megachilidae","Megachile","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v3_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,3,"bee bowl","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Andrenidae","Perdita","NA","NA","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Andrenidae","Perdita","NA","NA","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"bee bowl","N","bee","Hymenoptera","Andrenidae","Perdita","NA","NA","C. Mathis 2025","mounted","NA"
"mo_priv002_v4_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,29,2024,4,"bee bowl","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"mo_priv002_v4_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,29,2024,4,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v4_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,29,2024,4,"bee bowl","N","bee","Hymenoptera","Apidae","Bombus","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v1_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,5,2024,1,"blue vane","N","none","none","none","none","none","none","none","none","NA"
"mo_priv002_v1_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",5,30,2024,1,"blue vane","N","none","none","none","none","none","none","none","none","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Diadasia","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Anthophora","Anthophora walshii","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Epimelissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Agapostemon","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v2_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,2,"blue vane","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v2_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",6,11,2024,2,"blue vane","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v3_y2024","priv002","ks_priv002","ks","prescribed_burning","post",6,20,2024,3,"blue vane","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","Melissodes bimaculata","female","S. Gillies 2025","mounted","NA"
"mo_priv002_v3_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,9,2024,3,"blue vane","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv002_v4_y2024","priv002","ks_priv002","ks","prescribed_burning","post",7,23,2024,4,"blue vane","N","bee","Hymenoptera","Andrenidae","Perdita","NA","NA","C. Mathis 2025","mounted","NA"
"mo_priv002_v4_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"mo_priv002_v4_y2024","priv002","mo_priv002","mo","wildlife_hab_planting","post",7,29,2024,4,"blue vane","N","bee","Hymenoptera","Apidae","Bombus","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv003_v1_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,5,2024,1,"bee bowl","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","no_trap","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","male","C. Mathis 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Bombus","NA","NA","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Eucera","Eucera hamata","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv003_v1_y2024","priv003","mo_priv003","mo","wildlife_hab_planting","pre",5,29,2024,1,"bee bowl","N","bee","Hymenoptera","Apidae","Ceratina","NA","female","S. Gillies 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Diadasia","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Melissodes","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Melissodes","NA","male","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Halictus","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Agapostemon","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv003_v2_y2024","priv003","ks_priv003","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
