"short_point_id","full_point_id","state","conservation_practice","treatment_status","month","day","year","visit","time","observer","temp_f","wind","cloud","morphospecies","distance","behavior","Associated Vegetation","Identification Notes","NOBO Detected?","Notes","<- gray columns not cleaned","survey"
"priv024","ks_priv024","ks","prescribed_burning","pre",5,22,2024,1,1027,"SG",65,3,0,"BUTT","2.5","N","none",NA,NA,NA,NA,"ks_priv024_v1_y2024"
"priv023","ks_priv023","ks","prescribed_burning","pre",5,22,2024,1,1111,"SG",67,3,0,"BUTT","12","F","none","blue Lycaenidae",NA,NA,NA,"ks_priv023_v1_y2024"
"priv023","ks_priv023","ks","prescribed_burning","pre",5,22,2024,1,1111,"SG",67,3,0,"BUTT","0.1","F","none",NA,NA,NA,NA,"ks_priv023_v1_y2024"
"priv023","ks_priv023","ks","prescribed_burning","pre",5,22,2024,1,1111,"SG",67,3,0,"BB","1.25","F","none",NA,NA,NA,NA,"ks_priv023_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BUTT","0.3","F","none",NA,NA,NA,NA,"ks_priv025_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BUTT","1","R","none","blue Lycaenidae",NA,NA,NA,"ks_priv025_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BUTT","0.75","R","none","blue Lycaenidae",NA,NA,NA,"ks_priv025_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BUTT","0.5","R","none","white",NA,NA,NA,"ks_priv025_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BUTT","0.25","F","none",NA,NA,NA,NA,"ks_priv025_v1_y2024"
"priv025","ks_priv025","ks","prescribed_burning","pre",5,22,2024,1,1148,"SG",68,2,0,"BB","11","F","none",NA,NA,NA,NA,"ks_priv025_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"BUTT","2","F","grass",NA,NA,NA,NA,"ks_priv048_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"BUTT","3.5","N","Leucanthemum vulgare","blue Lycaenidae",NA,NA,NA,"ks_priv048_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"BUTT","1","F","none","fritillary",NA,NA,NA,"ks_priv048_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"BUTT","0.5","F","none","white",NA,NA,NA,"ks_priv048_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"SGB","0.5","R","none","Fritillary",NA,NA,NA,"ks_priv048_v1_y2024"
"priv048","ks_priv048","ks","brush_management","post",5,23,2024,1,1410,"KM",80,2,0,"BUTT","2","F","none",NA,NA,NA,NA,"ks_priv048_v1_y2024"
"priv053","ks_priv053","ks","brush_management","post",5,23,2024,1,1540,"KM",83,2,0,"BUTT","2.5","F","none","Zebra Swallowtail",NA,NA,NA,"ks_priv053_v1_y2024"
"priv053","ks_priv053","ks","brush_management","post",5,23,2024,1,1540,"KM",83,2,0,"BUTT","1","F","none","fritillary",NA,NA,NA,"ks_priv053_v1_y2024"
"priv039","ks_priv039","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1051,"SG",72,3,0,"BUTT","3","F","none",NA,NA,NA,NA,"ks_priv039_v1_y2024"
"priv039","ks_priv039","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1051,"SG",72,3,0,"BUTT","0.75","F","none",NA,NA,NA,NA,"ks_priv039_v1_y2024"
"priv037","ks_priv037","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1140,"SG",75,3,0,"BUTT","2.5","F","none",NA,NA,NA,NA,"ks_priv037_v1_y2024"
"priv037","ks_priv037","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1140,"SG",75,3,0,"BB","4","F","none",NA,NA,NA,NA,"ks_priv037_v1_y2024"
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1214,"SG",76,3,0,"BB","1","F","none",NA,NA,NA,NA,"ks_priv038_v1_y2024"
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1214,"SG",76,3,0,"BB","2.25","F","none",NA,NA,"High flying",NA,"ks_priv038_v1_y2024"
"priv038","ks_priv038","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1214,"SG",76,3,0,"BB","3.5","F","none",NA,NA,"High flying",NA,"ks_priv038_v1_y2024"
"priv040","ks_priv040","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1305,"SG",77,3,0,"BUTT","2.5","F","none",NA,NA,"high flying",NA,"ks_priv040_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","9.5","F","none",NA,NA,"NA",NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","5.75","F","none","blue Lycaenidae",NA,"NA",NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","0.5","F","none","blue Lycaenidae",NA,"NA",NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","1","F","none","blue Lycaenidae",NA,NA,NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"MNB","0.25","F","none","blue Lycaenidae",NA,NA,NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","0.25","F","none","Nymphalidae",NA,NA,NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","0.75","F","none","white",NA,"39°33'33""N, 97°2'32""W
moved point15m south 
along transect to avoid
 barbed wire fencing",NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","2","F","none",NA,NA,"High flying",NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","1","F","none","skipper",NA,NA,NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","0","F","none","unknown",NA,NA,NA,"ks_priv041_v1_y2024"
"priv041","ks_priv041","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1345,"SG",78,3,0,"BUTT","3","F","none","fritillary",NA,"39°33'20""N, 97°2'23""W
Lucinda's 3rd point by cows and road brown, bigger
white, little",NA,"ks_priv041_v1_y2024"
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1525,"SG",80,3,0,"BUTT","0.2","F","none","skipper",NA,NA,NA,"ks_priv046_v1_y2024"
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1525,"SG",80,3,0,"BUTT","3","F","none","Black & white, small",NA,NA,NA,"ks_priv046_v1_y2024"
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1525,"SG",80,3,0,"BUTT","0.75","F","none","white, small",NA,NA,NA,"ks_priv046_v1_y2024"
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1525,"SG",80,3,0,"BUTT","3.5","F","none","burnt orange",NA,NA,NA,"ks_priv046_v1_y2024"
"priv046","ks_priv046","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1525,"SG",80,3,0,"BUTT","0","F","none",NA,NA,NA,NA,"ks_priv046_v1_y2024"
"priv047","ks_priv047","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1608,"SG",80,3,0,"BUTT","1.5","F","none","blue Lycaenidae",NA,"yellow, John Clare (1 point only)",NA,"ks_priv047_v1_y2024"
"priv047","ks_priv047","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1608,"SG",80,3,0,"MNB","0.3","N","yellow sweet clover",NA,NA,NA,NA,"ks_priv047_v1_y2024"
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1640,"SG",80,3,25,"BB","0.5","F","none",NA,NA,NA,NA,"ks_priv044_v1_y2024"
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1640,"SG",80,3,25,"BUTT","0.25","F","none",NA,NA,NA,NA,"ks_priv044_v1_y2024"
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1640,"SG",80,3,25,"BB","13","F","none",NA,NA,NA,NA,"ks_priv044_v1_y2024"
"priv044","ks_priv044","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1640,"SG",80,3,25,"BUTT","0","F","none",NA,NA,NA,NA,"ks_priv044_v1_y2024"
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1714,"SG",80,3,0,"BUTT","2.5","N","dogwood",NA,NA,"video on S's phone",NA,"ks_priv042_v1_y2024"
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1714,"SG",80,3,0,"BUTT","0.1","R","none",NA,NA,NA,NA,"ks_priv042_v1_y2024"
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1714,"SG",80,3,0,"BUTT","0.5","R","none",NA,NA,"priv052 removed from sampling",NA,"ks_priv042_v1_y2024"
"priv042","ks_priv042","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1714,"SG",80,3,0,"BUTT","0.25","F","none",NA,NA,NA,NA,"ks_priv042_v1_y2024"
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1810,"SG",81,3,25,"BUTT","5.5","F","none",NA,NA,NA,NA,"ks_priv045_v1_y2024"
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1810,"SG",81,3,25,"BUTT","0.1","R","none",NA,NA,"1st PBPN, grass fields",NA,"ks_priv045_v1_y2024"
"priv045","ks_priv045","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1810,"SG",81,3,25,"BUTT","0.25","R","none",NA,NA,"little gray",NA,"ks_priv045_v1_y2024"
"priv043","ks_priv043","ks","not_enrolled_in_NRCS","pre",5,27,2024,1,1831,"SG",80,3,0,"BUTT","2.25","F","none",NA,NA,"Field Conifers = Red Cedar, Priv 037 (2nd PBPN...Faraway)",NA,"ks_priv043_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"HB","1.25","N","yellow sweet clover",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"HB","1.25","N","yellow sweet clover",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","2","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BB","0.5","N","green antelopehorn",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BB","2.5","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BB","3.5","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BB","5","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","0.25","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","2.25","R","none",NA,NA,"1/6 (lower/bigger chunk of land) PBPN",NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","2.25","R","none",NA,NA,"2/6 PBPN, open field, drive to gate entrance",NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","2.5","F","none",NA,NA,NA,NA,"ks_priv060_v1_y2024"
"priv060","ks_priv060","ks","brush_management","pre",5,29,2024,1,1340,"SG",78,1,25,"BUTT","2.5","F","none","Nymphalidae",NA,NA,NA,"ks_priv060_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BUTT","0.1","F","none",NA,NA,"3/6 open field PBPN",NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BUTT","3","R","oxeye daisy",NA,NA,NA,NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"SGB","0.75","N","oxeye daisy",NA,NA,NA,NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BUTT","0.25","F","none",NA,NA,"See Kara's photos",NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BB","2.5","F","none",NA,NA,NA,NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BUTT","1","F","none",NA,NA,NA,NA,"ks_priv058_v1_y2024"
"priv058","ks_priv058","ks","brush_management","pre",5,29,2024,1,1440,"SG",79,1,0,"BUTT","1.25","F","none",NA,NA,NA,NA,"ks_priv058_v1_y2024"
"priv059","ks_priv059","ks","brush_management","pre",5,29,2024,1,1516,"SG",79,1,0,"BUTT","12.5","F","none",NA,NA,"5/6 PBPN",NA,"ks_priv059_v1_y2024"
"priv059","ks_priv059","ks","brush_management","pre",5,29,2024,1,1516,"SG",79,1,0,"BUTT","2","F","none",NA,NA,NA,NA,"ks_priv059_v1_y2024"
"priv059","ks_priv059","ks","brush_management","pre",5,29,2024,1,1516,"SG",79,1,0,"BUTT","2.75","F","none",NA,NA,NA,NA,"ks_priv059_v1_y2024"
"priv059","ks_priv059","ks","brush_management","pre",5,29,2024,1,1516,"SG",79,1,0,"BUTT","4","F","none",NA,NA,"6/6 PBPN, last point",NA,"ks_priv059_v1_y2024"
"priv059","ks_priv059","ks","brush_management","pre",5,29,2024,1,1516,"SG",79,1,0,"BUTT","5","R","oxeye daisy","sulphur",NA,"wohlgemuth; did transect S--> N to avoid charged fence;
removed from sampling because it is a post treatment hayfield",NA,"ks_priv059_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"CB","1.25","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","0.25","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","2","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","1.5","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","2","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","2","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","3","F","none","sulphur",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","11","F","none","unknown (black)",NA,"black unknown",NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","3","F","none","white",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","1","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","0.25","R","hay","variegated fritillary",NA,"hay field",NA,"ks_priv017_v1_y2024"
"priv017","ks_priv017","ks","prescribed_burning","post",5,30,2024,1,1436,"KM",75,3,50,"BUTT","8","F","none","variegated fritillary",NA,NA,NA,"ks_priv017_v1_y2024"
"priv015","ks_priv015","ks","prescribed_burning","pre",5,30,2024,1,1029,"SG",70,1,100,"BUTT","6.5","F","none","small, black",NA,NA,NA,"ks_priv015_v1_y2024"
"priv015","ks_priv015","ks","prescribed_burning","pre",5,30,2024,1,1029,"SG",70,1,100,"BUTT","7","F","none","white",NA,NA,NA,"ks_priv015_v1_y2024"
"priv015","ks_priv015","ks","prescribed_burning","pre",5,30,2024,1,1029,"SG",70,1,100,"BUTT","10.5","F","none","white",NA,NA,NA,"ks_priv015_v1_y2024"
"priv015","ks_priv015","ks","prescribed_burning","pre",5,30,2024,1,1029,"SG",70,1,100,"BUTT","2.75","F","none","blue Lycaenidae",NA,NA,NA,"ks_priv015_v1_y2024"
"priv015","ks_priv015","ks","prescribed_burning","pre",5,30,2024,1,1029,"SG",70,1,100,"BB","12","F","none",NA,NA,NA,NA,"ks_priv015_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","4.75","F","none",NA,NA,"high flying, by tree, American persimmons in bloom",NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","2.5","F","none",NA,NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","1","F","none",NA,NA,"on tree bark",NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","2","F","none",NA,NA,"on tree bark",NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BUTT","0.2","F","none","white",NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BUTT","0.5","F","none","white",NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BUTT","7.5","F","none","white",NA,"2/3 Lance Reed, oil drills, pond, this point specifically has many coniferous trees and no overstory; medium, white, gray speckles",NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BUTT","10","F","none","Nymphalidae",NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","3.75","F","none",NA,NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"BB","12","F","none",NA,NA,NA,NA,"ks_priv016_v1_y2024"
"priv016","ks_priv016","ks","prescribed_burning","pre",5,30,2024,1,1057,"SG",70,1,100,"MNB","0.1","R","none",NA,NA,NA,NA,"ks_priv016_v1_y2024"
"priv014","ks_priv014","ks","prescribed_burning","pre",5,30,2024,1,1130,"SG",68,2,100,"BUTT","65","F","none","white",NA,NA,NA,"ks_priv014_v1_y2024"
"priv014","ks_priv014","ks","prescribed_burning","pre",5,30,2024,1,1130,"SG",68,2,100,"BB","11.5","F","none",NA,NA,NA,NA,"ks_priv014_v1_y2024"
"priv013","ks_priv013","ks","prescribed_burning","pre",5,30,2024,1,1130,"SG",67,2,100,"BB","2.25","F","none",NA,NA,"3/3 Lance Reed",NA,"ks_priv013_v1_y2024"
"priv013","ks_priv013","ks","prescribed_burning","pre",5,30,2024,1,1130,"SG",67,2,100,"BUTT","0.25","F","none","white",NA,NA,NA,"ks_priv013_v1_y2024"
"priv010","ks_priv010","ks","prescribed_burning","pre",6,5,2024,1,1015,"KM",72,1,0,"BUTT","2","F","none","questionmark",NA,NA,NA,"ks_priv010_v1_y2024"
"priv010","ks_priv010","ks","prescribed_burning","pre",6,5,2024,1,1015,"KM",72,1,0,"BUTT","1","F","none","small, dark",NA,NA,NA,"ks_priv010_v1_y2024"
"priv010","ks_priv010","ks","prescribed_burning","pre",6,5,2024,1,1015,"KM",72,1,0,"BUTT","0.5","R","pokeweed","unknown",NA,"eyes on wings",NA,"ks_priv010_v1_y2024"
"priv010","ks_priv010","ks","prescribed_burning","pre",6,5,2024,1,1015,"KM",72,1,0,"BUTT","0.25","R","slimflower scurfpea","blue Lycaenidae",NA,NA,NA,"ks_priv010_v1_y2024"
"priv010","ks_priv010","ks","prescribed_burning","pre",6,5,2024,1,1015,"KM",72,1,0,"BUTT","2","F","none","blue Lycaenidae",NA,NA,NA,"ks_priv010_v1_y2024"
"priv005","ks_priv005","ks","prescribed_burning","pre",6,5,2024,1,1058,"KM",76,1,0,"SGB","0.5","R","chickasaw plum",NA,NA,NA,NA,"ks_priv005_v1_y2024"
"priv005","ks_priv005","ks","prescribed_burning","pre",6,5,2024,1,1058,"KM",76,1,0,"BUTT","5","F","none","monarch",NA,NA,NA,"ks_priv005_v1_y2024"
"priv005","ks_priv005","ks","prescribed_burning","pre",6,5,2024,1,1058,"KM",76,1,0,"BUTT","8","R","shrub","monarch",NA,NA,NA,"ks_priv005_v1_y2024"
"priv005","ks_priv005","ks","prescribed_burning","pre",6,5,2024,1,1058,"KM",76,1,0,"BUTT","10","F","none","monarch",NA,NA,NA,"ks_priv005_v1_y2024"
"priv009","ks_priv009","ks","prescribed_burning","pre",6,5,2024,1,1142,"KM",78,2,0,"BUTT","0.5","F","none","white",NA,NA,NA,"ks_priv009_v1_y2024"
"priv009","ks_priv009","ks","prescribed_burning","pre",6,5,2024,1,1142,"KM",78,2,0,"BUTT","0.25","F","none","monarch",NA,NA,NA,"ks_priv009_v1_y2024"
"priv009","ks_priv009","ks","prescribed_burning","pre",6,5,2024,1,1142,"KM",78,2,0,"BUTT","1","F","none","monarch",NA,NA,NA,"ks_priv009_v1_y2024"
"priv009","ks_priv009","ks","prescribed_burning","pre",6,5,2024,1,1142,"KM",78,2,0,"BUTT","5","F","none","Nymphalidae",NA,NA,NA,"ks_priv009_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","1.5","F","none","variegated fritilary",NA,NA,NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","6","F","none","Nymphalidae",NA,NA,NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"CB","2.5","F","none",NA,NA,"larry davisson's 1st point very nice",NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","0.5","F","none","Nymphalidae",NA,"CJ Blew",NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","10","F","none","Nymphalidae",NA,NA,NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","1","F","none","white",NA,NA,NA,"ks_priv006_v1_y2024"
"priv006","ks_priv006","ks","prescribed_burning","pre",6,5,2024,1,1300,"KM",83,1,0,"BUTT","0.25","F","none","skipper",NA,NA,NA,"ks_priv006_v1_y2024"
